Model,Dice,IoU,Recall,Precision,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,IRF_Precision,IRF_Recall,SRF_Precision,SRF_Recall,PED_Precision,PED_Recall
nnU-Net + SDA/SASC,0.9015606290563621,0.859225122786686,0.9221248575883869,0.8940510663208538,0.030384606818015913,3.4877689516692123,0.8396470033584365,0.9326257570789287,0.9324091267317258,0.7722833942357188,0.9040220904677694,0.9013698836565666,0.03458746442198901,4.194262058147806,0.02543223096290559,2.8362261724638653,0.021743332565980267,2.4926217806628252,0.8295763516702178,0.8682691958872174,0.9282314659250479,0.9479473879559371,0.9243453813672944,0.9501579889220022
nnU-Net + ECA-Encoder,0.894364854888315,0.8511585371861726,0.9179229339791064,0.8894394616549072,0.023188832649968738,2.6617849961467916,0.8387239097697728,0.924534193575183,0.9198364613199824,0.7719018543480922,0.8943162659058688,0.8872574913045548,0.02652087882147569,3.216064480255254,0.021230307353625077,2.367623723362261,0.01713172790003359,1.9639546042185798,0.8383102819698296,0.8611877271145685,0.9164326260105853,0.9482141177531805,0.9135754769843053,0.9443669570695661
nnU-Net + ECA/CBAM,0.8927522617756456,0.8496460741898549,0.9084155569622239,0.8947634796538892,0.02157623953729937,2.476679682007627,0.8360277327994494,0.9248577983777598,0.9173712541497194,0.768909526199272,0.8950669084866656,0.884961787883627,0.025008415825158004,3.03265507844392,0.011722930336742543,1.3073521504084833,0.022455745899015667,2.574291735595908,0.8449852182079542,0.8462549252779247,0.9235667722844264,0.9402182464773278,0.9157384484692858,0.9387734991314165
nnU-Net + CBAM-Decoder,0.8923991138892726,0.8488355151342243,0.9041366038132091,0.8977749965719626,0.021223091650926396,2.436142766693359,0.8297694405589974,0.9260529120462763,0.9213749890625389,0.7618725188470564,0.895949640997417,0.8886843855581931,0.02419785676952735,2.9343623255713385,0.007443977187727824,0.8301592950241717,0.025467262817088998,2.919527344720932,0.8370000590530844,0.8469613094208864,0.9273597453091158,0.9376281632333151,0.9289651853536873,0.927820338785423
nnU-Net + SASC,0.8916339968056763,0.8477159774808347,0.915861230748926,0.8872256936330786,0.020457974567330117,2.348316992789431,0.8324484217971786,0.9226848934677633,0.9197686751520862,0.7643077123114813,0.8932248124385392,0.8856154076924767,0.02307831911613778,2.798601165256434,0.019168604123444677,2.1377006517363464,0.01491795987820499,1.710171686084933,0.8202058777482734,0.8688863133064233,0.9221135095268034,0.940024377562118,0.9193576936241541,0.9386730013782275
nnU-Net + SDA,0.8901914897352868,0.8463947569282314,0.9064734426594839,0.8904368477908298,0.019015467496940608,2.182735407258275,0.8247506145132907,0.9261837938419404,0.9196400608506211,0.7571469915923152,0.8960000341772473,0.8860372450151249,0.02175709856353447,2.6383828512852574,0.009780816034002604,1.090765747769188,0.018129114035956184,2.0782933974365783,0.8294665727355715,0.8423611055972019,0.926668906049332,0.9371785847992568,0.9151750645875822,0.9398806375819873
nnU-Net Base,0.8711760222383462,0.8246376583646969,0.8966926266254813,0.8723077337548736,0.0,0.0,0.8040847682002421,0.9045151941443726,0.9049281043704229,0.7329050277482176,0.8719274868320094,0.8690804605138569,0.0,0.0,0.0,0.0,0.0,0.0,0.8038212256402195,0.8364941306260271,0.905335974001193,0.9289418591751313,0.9077660016231964,0.9246418900752785
Standard U-Net (Base),0.8655773312457643,0.8208622231644132,0.9268879601543014,0.8642499333078157,-0.005598690992581923,-0.6426589862054501,0.8264111373980693,0.8884075568961808,0.8819132994430449,0.7571925915270625,0.8569580481269501,0.8484360298392253,-0.003775435200283783,-0.457829588788206,0.03019533352882009,3.3674118234309605,-0.008057800447057839,-0.923733693426379,0.8268487843410011,0.8740948859540979,0.8842260055595529,0.9563025181589705,0.8816750100228922,0.950266476349824
Attention U-Net,0.8610402576511764,0.8150888502916319,0.9225926513346459,0.8598279228747231,-0.010135764587169804,-1.1634577087105304,0.8224225534371812,0.8795338575525318,0.8811643619638118,0.751836585693032,0.8470059379135793,0.8464240272682791,-0.009548808073065018,-1.1579398510614762,0.025900024709164526,2.88839496836658,-0.012479810880150488,-1.4306660823045538,0.8233401695487268,0.869552531029728,0.8778408322988503,0.9490113562310416,0.8783027667765907,0.949214066743166
